Unique_Op_ID,Index,Bid_Status,Last_Update,Update_Comment,Bid_Type,Client,Project,Region,Country,Water_Depth_Min,Water_Depth_Max,Survey_Type,Date_Received,Date_Submitted,Node_Type,Crew Node
202306_RFP_PETR_BUZ_BRA_ROV,23,Lost,2-Oct-2024,Lost to PXGEO,RFP,Petrobras,Buzios,SAM,Brazil,1600,2200,ROV,6-Jun-2023,31-Jul-2023,ZXPLR,2000
202307_DIR_BP_ATL_USA_ROV,,Award,10-Oct-2024,Direct Award - LTA,DIR,BP,Atlantis,GOM,USA,1300,2400,ROV,1-Jul-2023,,,
202307_DIR_BP_THU_USA_ROV,,Award,10-Oct-2024,Direct Award - LTA,DIR,BP,Thunderhorse,GOM,USA,1300,2350,ROV,1-Jul-2023,,,
202308_RFP_ONGC_MUM_IND_NOAR,22,Lost,2-Oct-2024,Lost to SAE,RFP,ONGC,Mumbai High North,APAC,India,50,80,NOAR,28-Aug-2023,26-Sep-2023,Z700,8000
202308_RFP_ONGC_KG _IND_ROV,21,Lost,2-Oct-2024,Lost to Shearwater,RFP,ONGC,"KG Cluster 2, 3 Re-Tender",APAC,India,250,2900,ROV,29-Aug-2023,24-Sep-2023,MASS,4300
202309_RFP_EQUI_OSE_NOR_NOAR,20,Award,2-Oct-2024,Won,RFP,Equinor,Oseberg South,North Sea,Norway,80,120,NOAR,14-Sep-2023,12-Oct-2023,GPR,5000
202309_RFP_EQUI_TON_NOR_NOAR,19,Lost,2-Oct-2024,Lost to InApril,RFP,Equinor,Tonjer Area on Johan Sverdrup,North Sea,Norway,115,120,NOAR,29-Sep-2023,24-Oct-2023,MASS,1500
202310_RFP_ONGC_BAS_IND_NOAR,18,No Sale,2-Oct-2024,No sale,RFP,ONGC,Bassein,APAC,India,35,80,NOAR,18-Oct-2023,17-Nov-2023,Z700,10000
202310_RFP_TOTA_B32_ANG_ROV,17,Lost,2-Oct-2024,Lost to Shearwater,RFP,Total,"B32, B20/11",WAF,Angola,1500,2200,ROV,23-Oct-2023,1-Dec-2023,MASS,3000
202311_RFP_CNOO_GOL_UK_NOAR,16,No Sale,2-Oct-2024,No sale,RFP,CNOOC,Golden Eagle,North Sea,UK,90,110,NOAR,30-Nov-2023,10-Jan-2024,Z700,4000
202312_RFP_SHEL_BON_NIG_ROV,15,Award,2-Oct-2024,"Won, awarded to partner BGP",RFP,Shell (via BGP),Bonga,WAF,Nigeria,800,1600,ROV,11-Dec-2023,15-Jan-2024,ZXPLR,1750
202401_RFP_MURP_KMS_USA_ROV,14,Lost,2-Oct-2024,Lost to PXGEO,RFP,Murphy,KMS,GOM,USA,900,1300,ROV,10-Jan-2024,,MASS,2500
202402_RFP_CNR_KOS_IVO_ROV,13,Lost,2-Oct-2024,Lost to Shearwater,RFP,CNR,Kossipo Re-Tender,WAF,Ivory Coast,1000,1500,ROV,5-Feb-2024,11-Mar-2024,ZXPLR,1000
